Device,Type,Location,Income,over 3 year(s) Annualized Income,Revenue per kW,,,,,,,,,,,,,,,,
Device 1,Battery - Custom,BGE (PJM),"$1,496.08",$498.69,149.61,,,,,,,,,,,,,,,,
Device 2,Battery - Custom,DPL (PJM),"$1,476.84",$492.28,147.68,,,,,,,,,,,,,,,,
Device 3,Battery - Custom,DUQ (PJM),$947.58,$315.86,94.76,,,,,,,,,,,,,,,,
Device 4,Battery - Custom,JCPL (PJM),$893.19,$297.73,89.32,,,,,,,,,,,,,,,,
Device 5,Battery - Custom,RECO (PJM),$941.77,$313.92,94.18,,,,,,,,,,,,,,,,
Device 6,Battery - Custom,COMED (PJM),$904.99,$301.66,90.50,,,,,,,,,,,,,,,,
Device 7,Battery - Custom,DAY (PJM),$963.58,$321.19,96.36,,,,,,,,,,,,,,,,
Device 8,Battery - Custom,PENELEC (PJM),$901.31,$300.44,90.13,,,,,,,,,,,,,,,,
Device 9,Battery - Custom,METED (PJM),"$1,046.16",$348.72,104.62,,,,,,,,,,,,,,,,
Device 10,Battery - Custom,PPL (PJM),$899.17,$299.72,89.92,,,,,,,,,,,,,,,,
Device 11,Battery - Custom,AECO (PJM),$915.20,$305.07,91.52,,,,,,,,,,,,,,,,
Device 12,Battery - Custom,PECO (PJM),$912.97,$304.32,91.30,,,,,,,,,,,,,,,,
Device 13,Battery - Custom,PSEG (PJM),$885.84,$295.28,88.58,,,,,,,,,,,,,,,,
Device 14,Battery - Custom,PEPCO (PJM),"$1,377.77",$459.26,137.78,,,,,,,,,,,,,,,,
Device 15,Battery - Custom,DOM (PJM),"$1,484.32",$494.77,148.43,,,,,,,,,,,,,,,,
Device 16,Battery - Custom,APS (PJM),$998.97,$332.99,99.90,,,,,,,,,,,,,,,,
Device 17,Battery - Custom,ATSI (PJM),$920.23,$306.74,92.02,,,,,,,,,,,,,,,,
Device 18,Battery - Custom,DEOK (PJM),$937.87,$312.62,93.79,,,,,,,,,,,,,,,,
Device 19,Battery - Custom,AEP (PJM),$923.79,$307.93,92.38,,,,,,,,,,,,,,,,
Device 20,Battery - Custom,EKPC (PJM),$931.99,$310.66,93.20,,,,,,,,,,,,,,,,
Device 21,Battery - Custom,OVEC (PJM),$893.34,$297.78,89.33,,,,,,,,,,,,,,,,
