,,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Device 1,Energy,79.71,16.24,19.89,33.6,45.43,107.78,51.87,96.23,46.21,26.44,23.87,166.97,21.22,11.84,23.85,18.82,24.79,22.38,34.34,33.86,41.33,45.16,32.39,20.05,41.79,23.16,20.12,20.89,34.78,38.03,81.12,66.5,32.29,45.46,16.53,31.14
,Ancillary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device 2,Energy,122.74,52.59,32.68,24.56,23.67,60.76,99.72,101.46,16.68,55.54,31.94,152.48,15.5,36.33,12.69,10.09,13.66,11.87,102.46,53.29,34.7,17.92,24.29,20.22,34.51,8.94,14.96,16.94,22.07,34.18,81.06,48.08,32.85,24.83,12.05,18.54
,Ancillary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device 3,Energy,25.78,9.01,16.84,22.95,35,76.51,30.82,40.25,27.22,21.74,16.82,131.39,18.22,7.24,15.62,11.3,16.12,14.68,22.07,15.76,23.24,30.36,33.72,14.51,20.91,15.08,14.8,15,45.35,23.41,36.25,25,19.34,26.68,14.32,14.27
,Ancillary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device 4,Energy,109.33,14.16,15.98,17.39,21.5,57.28,30.56,66.34,15.89,18.91,15.27,126.47,15.21,8.7,12,9.45,10.53,10.6,20.49,9.78,20.71,14.52,14.03,9.19,27.38,7.82,13.5,13.26,21.06,21.48,38.93,24.21,22.43,14.93,11.85,12.07
,Ancillary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device 5,Energy,108.2,32.35,18.57,17.01,26.54,58.14,29.76,62.56,18.23,18.5,14.3,132.46,20.5,14.41,11.99,9.52,10.25,11.13,21.24,10.57,24.64,14.97,14.06,11.19,32.09,9.69,14.27,13.17,20.38,22.71,36.44,22.43,15.22,16.84,12.13,15.27
,Ancillary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device 6,Energy,28.26,11.98,17.38,30.29,40.36,72.69,30.04,36.56,27.43,22.72,14.73,115.49,18.23,7.11,14.99,19.21,20.2,15.52,20.85,18.29,15.77,19.38,14.1,12.98,22.25,13.23,16.48,15.93,22.47,27.82,28.44,33.08,21.87,25.92,16.29,16.63
,Ancillary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
